date,meta_spend,meta_impressions,google_spend,google_impressions,snapchat_spend,snapchat_impressions,tiktok_spend,tiktok_impressions,moloco_spend,moloco_impressions,liveintent_spend,liveintent_impressions,beehiiv_spend,beehiiv_impressions,amazon_spend,amazon_impressions,subscriptions,subscriptions_as_revenue
2023-01-01,13232.202558909872,81811.32440091431,9731.42526386276,143709.90162304905,13797.694022151249,169056.83652282684,17092.909835691287,210241.1778226564,7792.895088205043,63903.07626888303,17957.83408884847,210091.67241478123,12460.87048247994,72213.49612850607,8891.338465180324,61095.13328437943,2647,264700.0
2023-02-01,15727.840495586292,179284.96001005117,10455.66156413934,115518.9083510983,5301.613192812403,53086.3455350733,15558.328753105494,104494.35319175634,19165.585849759,169321.0310891391,6762.977839430496,86914.60664292051,14592.087745980854,86035.39210906283,10607.197068988422,148923.3449162157,2770,277000.0
2023-03-01,14041.450641074658,90336.13429927242,13552.951556268195,167956.79257032706,17434.100438260444,253855.0833427202,6503.403309684517,66402.1284409698,16093.261925739313,175145.72366682749,12760.686607311713,99754.12891026789,10528.769091944265,123402.20728348938,13813.994527945835,144191.2968260549,2753,275300.0
2023-04-01,13173.247744953453,190309.81553727775,11579.022701934806,62432.67687118887,5070.432142888206,58005.24677323036,18792.239206170103,104172.52077938386,12356.882129263506,164476.08869691877,6981.0215951773,75842.52831366906,7053.504075283984,52574.50652280093,9092.328536367006,87005.53025805316,1094,109400.0
2023-05-01,11354.82199008357,116029.05794337706,19825.607570888395,155196.23643799013,15167.248051943452,140123.38685522173,15713.61949323667,109994.7903881,8411.219419599849,94961.14007189508,15752.895217888905,88839.28214780468,17331.76599791368,159545.74628343724,10562.79198826833,145982.15935431342,2573,257300.0
2023-06-01,14688.41169599984,134349.3113724271,6530.672161220421,40503.00416799479,9050.119597882473,100129.90910143308,19982.705098518,103614.68105860813,8815.347226555894,121003.92148528328,10940.895542109409,107836.48570541128,7847.718678541369,82979.32813779413,7955.814202784595,76264.75013884097,1536,153600.0
2023-07-01,11563.808168940388,88411.74432864704,8133.151341422521,64751.28715437624,16027.910331838924,83215.82027402661,7241.724569869906,93686.02444387702,5870.437404858134,45410.30095411781,13481.319677877636,199185.84301405377,12669.78473819684,172378.90497711848,11897.83825634011,145649.48539050278,941,94100.0
2023-08-01,18376.595011731195,234160.76461036663,7419.642768274944,45907.38645470108,19432.828176761574,155768.65683255674,18021.890860523214,130464.91719462482,11516.24938337181,149486.31050633293,7749.197543211179,106668.11065224628,8364.755434621089,102639.2516503521,5669.184518811711,50967.40435818944,1743,174300.0
2023-09-01,19454.94140751544,186018.48690049376,14796.624881980975,121033.90265262817,8731.29715279937,101298.19904663054,7437.394020145623,62872.13534935196,9676.93822991154,66348.56681255768,7172.716390150659,60118.7645139164,6467.66726741051,49822.2457788534,16996.93826855927,238644.5587245436,1390,139000.0
2023-10-01,10751.622782386665,114873.9878613151,8799.374038096732,80449.42057924962,13642.360016267554,107785.23158356104,14233.393464257662,203264.4294884177,15445.152332231892,224385.88448927263,12320.844209734318,180077.78175703113,17932.87276132525,113243.0069065328,6154.346704799491,73238.26561642828,2634,263400.0
2023-11-01,16875.87557123997,87550.32119792345,11994.661592844594,67667.583071542,13880.628969077585,155187.57351637023,6857.299742741623,82590.30568464547,10666.277589387211,126660.79590095404,10334.191067749334,75615.4441253638,19593.792335346952,108818.89102717392,12782.52723247289,153342.015771323,1040,104000.0
2023-12-01,12933.423796293568,144548.53533463538,8666.383880024041,103344.21152686444,13583.7785868631,126161.88392055756,17720.123439833515,94242.51481403691,7694.0551633945215,55051.55537543995,19106.479178792197,276913.79903916834,19412.519870945005,155610.49420383677,9602.151493177942,79478.96689745536,3156,315600.0
2024-01-01,13520.668416408984,150362.77514236566,7384.543754682796,78763.65107396753,8346.224489609274,53038.09197324951,17109.78438087516,113727.73696906977,5370.180925869969,77726.41937708775,16479.878807104476,237537.2988882552,18598.332488317683,141741.26734940853,13663.144232470631,171715.47864002796,1710,171000.0
2024-02-01,18883.94957438992,210921.2527490469,6655.627117464577,50941.470513189815,19291.235172754776,153998.52084271473,13536.5110792189,151809.0480700625,6008.7444719487285,73958.98024696179,16229.95429775821,210859.98616258535,16610.709990479583,158821.73665255538,19391.500112501377,220299.2808451168,2110,211000.0
2024-03-01,6065.540872968304,87571.12980499906,14844.943841979102,151900.59890127587,11706.88067926441,125259.51540579509,11107.749458389995,119655.8527163016,15190.89160247851,114530.45767255632,18555.796096189,209763.61413857716,9997.177280429629,118294.732840937,14683.553666840058,108661.27398720616,1019,101900.0
